Clean_Prompt,Corrupted_Prompt,Clean_Answer,Corrupted_Answer,Category
"Patient with chest pain, sweating, and arm pain. This suggests a heart attack","Patient with chest pain, sweating, and arm pain. This suggests a panic attack",heart attack,panic attack,cardiology
"Patient has fever and productive cough with yellow sputum. This indicates bacterial pneumonia","Patient has fever and productive cough with yellow sputum. This indicates viral pneumonia",bacterial,viral,pulmonology
"Patient presents with right lower quadrant abdominal pain. This is consistent with appendicitis","Patient presents with left lower quadrant abdominal pain. This is consistent with diverticulitis",appendicitis,diverticulitis,gastroenterology
"CT scan shows hyperdense lesion in the brain. Diagnosis is hemorrhagic stroke","CT scan shows hypodense lesion in the brain. Diagnosis is ischemic stroke",hemorrhagic,ischemic,neurology
"Young patient with acute onset polyuria and weight loss. This suggests Type 1 diabetes","Obese patient with gradual onset polyuria and weight gain. This suggests Type 2 diabetes",Type 1,Type 2,endocrinology
"ST elevation in leads II, III, aVF indicates inferior MI","ST elevation in leads V1-V4 indicates anterior MI",inferior,anterior,cardiology
"Severe unilateral headache with nausea and photophobia. Diagnosis: migraine","Severe unilateral headache with lacrimation and rhinorrhea. Diagnosis: cluster headache",migraine,cluster headache,neurology
"X-ray shows fracture of the radius. Treatment is casting","X-ray shows fracture of the femur. Treatment is surgery",casting,surgery,orthopedics
"Patient with fatigue and low hemoglobin. MCV is low, suggesting iron deficiency anemia","Patient with fatigue and low hemoglobin. MCV is high, suggesting B12 deficiency anemia",iron deficiency,B12 deficiency,hematology
"Patient with UTI symptoms. Culture shows E. coli. Prescribe oral antibiotics","Patient with UTI symptoms and sepsis. Culture shows E. coli. Prescribe IV antibiotics",oral,IV,infectious_disease
"Child with barking cough and stridor. This is croup","Child with high fever and drooling. This is epiglottitis",croup,epiglottitis,pediatrics
"Patient with sudden vision loss and cherry red spot. This is central retinal artery occlusion","Patient with gradual vision loss and cupping. This is glaucoma",CRAO,glaucoma,ophthalmology
"ECG shows narrow complex tachycardia. This is SVT","ECG shows wide complex tachycardia. This is ventricular tachycardia",SVT,VT,cardiology
"Patient with unilateral leg swelling. Ultrasound confirms deep vein thrombosis","Patient with bilateral leg swelling. This suggests heart failure",DVT,heart failure,vascular
"Abdominal pain improves with eating. This is duodenal ulcer","Abdominal pain worsens with eating. This is gastric ulcer",duodenal,gastric,gastroenterology
"Child with steeple sign on X-ray. Diagnosis is croup","Child with thumbprint sign on X-ray. Diagnosis is epiglottitis",croup,epiglottitis,pediatrics
"Patient with hyperthyroidism and exophthalmos. This is Graves disease","Patient with hyperthyroidism and thyroid nodule. This is toxic adenoma",Graves,toxic adenoma,endocrinology
"Liver function tests show elevated AST/ALT ratio >2. This suggests alcoholic hepatitis","Liver function tests show AST/ALT ratio <1. This suggests viral hepatitis",alcoholic,viral,hepatology
"Patient with acute kidney injury and muddy brown casts. This is acute tubular necrosis","Patient with acute kidney injury and red cell casts. This is glomerulonephritis",ATN,glomerulonephritis,nephrology
"CSF analysis shows high protein and low glucose. This is bacterial meningitis","CSF analysis shows normal glucose and lymphocytes. This is viral meningitis",bacterial,viral,infectious_disease
"Joint aspirate shows needle-shaped crystals. This is gout","Joint aspirate shows rhomboid crystals. This is pseudogout",gout,pseudogout,rheumatology
"Patient with ascending weakness after GI illness. This is Guillain-Barr̩ syndrome","Patient with descending weakness and autonomic symptoms. This is botulism",GBS,botulism,neurology
"Chest X-ray shows infiltrate in right lower lobe. This is community-acquired pneumonia","Chest X-ray shows bilateral hilar lymphadenopathy. This is sarcoidosis",pneumonia,sarcoidosis,pulmonology
"Patient with coffee-ground emesis. Source is upper GI bleeding","Patient with bright red blood per rectum. Source is lower GI bleeding",upper,lower,gastroenterology
"Thyroid scan shows diffuse uptake. This is Graves disease","Thyroid scan shows cold nodule. This should be biopsied for cancer",Graves,cancer,endocrinology
"Patient with systolic murmur at apex radiating to axilla. This is mitral regurgitation","Patient with systolic murmur at right upper sternal border. This is aortic stenosis",MR,AS,cardiology
"ABG shows pH 7.25, low CO2, low HCO3. This is metabolic acidosis with respiratory compensation","ABG shows pH 7.50, low CO2, normal HCO3. This is respiratory alkalosis",metabolic acidosis,respiratory alkalosis,critical_care
"Patient with ptosis and diplopia worse at end of day. This is myasthenia gravis","Patient with ptosis and miosis. This is Horner syndrome",myasthenia,Horner,neurology
"Urine shows RBC casts. This indicates glomerulonephritis","Urine shows WBC casts. This indicates pyelonephritis",glomerulonephritis,pyelonephritis,nephrology
"Patient with weight loss and mediastinal mass. Biopsy needed for lymphoma","Patient with weight loss and lung mass. Biopsy needed for lung cancer",lymphoma,lung cancer,oncology
"Child with olive-shaped mass and projectile vomiting. This is pyloric stenosis","Child with bilious vomiting and double bubble sign. This is duodenal atresia",pyloric stenosis,duodenal atresia,pediatrics
"Patient with target lesions on skin. This is erythema multiforme","Patient with honey-crusted lesions. This is impetigo",erythema multiforme,impetigo,dermatology
"Sputum culture grows acid-fast bacilli. This is tuberculosis","Sputum culture grows gram-positive cocci. This is pneumococcal pneumonia",TB,pneumonia,infectious_disease
"Patient with painless jaundice and palpable gallbladder. This suggests pancreatic cancer","Patient with painful jaundice and fever. This suggests cholangitis",pancreatic cancer,cholangitis,hepatology
"EEG shows 3-Hz spike and wave. This is absence epilepsy","EEG shows focal slowing. This suggests focal seizures",absence,focal,neurology
"Patient with blue sclera and hearing loss. This is osteogenesis imperfecta","Patient with cafe-au-lait spots and neurofibromas. This is neurofibromatosis",OI,NF1,genetics
"Echocardiogram shows dilated left ventricle with EF 25%. This is dilated cardiomyopathy","Echocardiogram shows thickened septum. This is hypertrophic cardiomyopathy",DCM,HCM,cardiology
"Blood smear shows spherocytes. This is hereditary spherocytosis","Blood smear shows sickle cells. This is sickle cell disease",spherocytosis,sickle cell,hematology
"Patient with resting tremor and shuffling gait. This is Parkinson disease","Patient with intention tremor and ataxia. This is cerebellar disease",Parkinson,cerebellar,neurology
"Urinalysis shows glucose and ketones. This is diabetic ketoacidosis","Urinalysis shows protein only. This is nephrotic syndrome",DKA,nephrotic,nephrology
"Child with vesicular rash in crops. This is varicella","Child with slapped cheek rash. This is erythema infectiosum",varicella,fifth disease,pediatrics
"Patient with elevated D-dimer and leg swelling. This suggests DVT","Patient with elevated D-dimer and dyspnea. This suggests PE",DVT,PE,vascular
"Lung biopsy shows non-caseating granulomas. This is sarcoidosis","Lung biopsy shows caseating granulomas. This is tuberculosis",sarcoidosis,TB,pulmonology
"Patient with unprovoked DVT. Screen for malignancy","Patient with DVT after long flight. Consider travel prophylaxis",malignancy,travel,vascular
"Child with inspiratory stridor. This is upper airway obstruction","Child with expiratory wheeze. This is lower airway obstruction",upper,lower,pediatrics
"Patient with hypercalcemia and low PTH. This is malignancy-related","Patient with hypercalcemia and high PTH. This is primary hyperparathyroidism",malignancy,primary HPT,endocrinology
"Stool test positive for fecal occult blood. Screen with colonoscopy","Stool test shows C. diff toxin. Treat with vancomycin",colonoscopy,vancomycin,gastroenterology
"Patient with facial droop sparing forehead. This is central facial palsy","Patient with facial droop involving forehead. This is peripheral facial palsy",central,peripheral,neurology
"ECG shows ST depression in V1-V4. This is posterior MI","ECG shows ST elevation in V1-V4. This is anterior MI",posterior,anterior,cardiology
"Child with boot-shaped heart on X-ray. This is tetralogy of Fallot","Child with egg-shaped heart on X-ray. This is transposition of great arteries",TOF,TGA,pediatrics
"Patient with decreased breath sounds at base. This is pleural effusion","Patient with hyperresonance to percussion. This is pneumothorax",effusion,pneumothorax,pulmonology
"Serum sodium is 125. This is hyponatremia requiring water restriction","Serum sodium is 155. This is hypernatremia requiring free water",hyponatremia,hypernatremia,nephrology
"Patient with pulsatile abdominal mass. This is abdominal aortic aneurysm","Patient with non-pulsatile abdominal mass. This could be tumor",AAA,tumor,vascular
"Child with strawberry tongue and desquamation. This is Kawasaki disease","Child with strawberry tongue and circumoral pallor. This is scarlet fever",Kawasaki,scarlet fever,pediatrics
"Patient with flapping tremor and altered mental status. This is hepatic encephalopathy","Patient with bilateral tremor and rigidity. This is Parkinson disease",hepatic,Parkinson,neurology
"Serum potassium is 6.5. This requires emergent treatment","Serum potassium is 2.5. This requires IV replacement",hyperkalemia,hypokalemia,nephrology
"Patient with painless testicular mass. This should be evaluated for cancer","Patient with painful testicular swelling. This is likely epididymitis",cancer,epididymitis,urology
"Child with currant jelly stools. This is intussusception","Child with bloody diarrhea and fever. This is dysentery",intussusception,dysentery,pediatrics
"Patient with elevated troponin and ST changes. This is NSTEMI","Patient with normal troponin and normal ECG. This is unstable angina",NSTEMI,unstable angina,cardiology
"Thyroid nodule with microcalcifications. This is concerning for papillary carcinoma","Thyroid nodule that is hot on scan. This is likely benign",papillary,benign,endocrinology
"Patient with photosensitivity and positive ANA. This suggests lupus","Patient with morning stiffness and positive RF. This suggests rheumatoid arthritis",lupus,RA,rheumatology
"Chest CT shows ground-glass opacities. This could be COVID-19 pneumonia","Chest CT shows tree-in-bud pattern. This suggests TB or MAC",COVID,TB,pulmonology
"ABG shows pH 7.10, CO2 80, HCO3 24. This is acute respiratory acidosis","ABG shows pH 7.32, CO2 60, HCO3 30. This is chronic respiratory acidosis",acute,chronic,critical_care
"Patient with hematemesis and esophageal varices. This is variceal bleeding","Patient with hematemesis and epigastric pain. This is peptic ulcer bleeding",variceal,peptic ulcer,gastroenterology
"Child with salmon-colored patches on trunk. This is erythema toxicum","Child with pustules and positive cultures. This is impetigo",erythema toxicum,impetigo,pediatrics
"Patient with unilateral hearing loss and vertigo. This is vestibular schwannoma","Patient with bilateral hearing loss and tinnitus. This is presbycusis",schwannoma,presbycusis,otology
"Bone scan shows multiple hot spots. This suggests metastatic disease","Bone scan shows single hot spot. This could be osteoid osteoma",metastatic,osteoid osteoma,oncology
"Patient with hypoglycemia and high insulin. This is insulinoma","Patient with hypoglycemia and low insulin. This is adrenal insufficiency",insulinoma,adrenal insufficiency,endocrinology
"Urinalysis shows positive nitrites. This is bacterial UTI","Urinalysis shows sterile pyuria. This could be TB of urinary tract",bacterial UTI,TB,urology
"Patient with lower back pain and saddle anesthesia. This is cauda equina syndrome","Patient with lower back pain radiating to leg. This is sciatica",cauda equina,sciatica,neurology
"Child with port-wine stain and seizures. This is Sturge-Weber syndrome","Child with ash-leaf spots and seizures. This is tuberous sclerosis",Sturge-Weber,tuberous sclerosis,genetics
"Patient with dysphagia to solids only. This suggests mechanical obstruction","Patient with dysphagia to solids and liquids. This suggests motility disorder",mechanical,motility,gastroenterology
"Mammogram shows spiculated mass. This is concerning for carcinoma","Mammogram shows well-circumscribed mass. This is likely fibroadenoma",carcinoma,fibroadenoma,oncology
"Patient with moon facies and central obesity. This is Cushing syndrome","Patient with hyperpigmentation and hypotension. This is Addison disease",Cushing,Addison,endocrinology
"Child with recurrent sinopulmonary infections. Test for immunodeficiency","Child with recurrent skin infections. Consider chronic granulomatous disease",immunodeficiency,CGD,immunology
"Patient with palpitations and regular narrow complex tachycardia. This is AVNRT","Patient with palpitations and irregularly irregular rhythm. This is atrial fibrillation",AVNRT,afib,cardiology
"Serum albumin is 2.0. This is nephrotic syndrome","Serum albumin is 2.0 with ascites. This is cirrhosis",nephrotic,cirrhosis,nephrology
"Patient with night sweats and lymphadenopathy. Consider lymphoma","Patient with night sweats and productive cough. Consider TB",lymphoma,TB,oncology
"Liver biopsy shows Mallory bodies. This is alcoholic hepatitis","Liver biopsy shows ground-glass hepatocytes. This is hepatitis B",alcoholic,hepatitis B,hepatology
"Patient with positive Romberg sign. This is sensory ataxia","Patient with inability to perform tandem gait. This is cerebellar ataxia",sensory,cerebellar,neurology
"Child with bilious vomiting on day 1 of life. This is malrotation","Child with non-bilious vomiting at 3 weeks. This is pyloric stenosis",malrotation,pyloric stenosis,pediatrics
"Patient with amenorrhea and elevated prolactin. This is prolactinoma","Patient with amenorrhea and low FSH. This is hypothalamic amenorrhea",prolactinoma,hypothalamic,endocrinology
"Blood pressure differs >20 mmHg between arms. This suggests aortic dissection","Blood pressure elevated in arms but low in legs. This is coarctation",dissection,coarctation,cardiology
"Patient with hemolytic anemia and positive Coombs. This is autoimmune hemolytic anemia","Patient with hemolytic anemia and schistocytes. This is microangiopathic hemolysis",AIHA,MAHA,hematology
"Sputum shows branching gram-positive rods. This is actinomycosis","Sputum shows acid-fast bacteria. This is tuberculosis",actinomycosis,TB,infectious_disease
"Chest X-ray shows kerley B lines. This is pulmonary edema","Chest X-ray shows cavitary lesion. This is tuberculosis or cancer",edema,TB,pulmonology
"Patient with painful swallowing. This is odynophagia suggesting esophagitis","Patient with difficulty swallowing. This is dysphagia suggesting obstruction",esophagitis,obstruction,gastroenterology
"Child with limping and limited hip abduction. This is developmental dysplasia","Child with limping and thigh atrophy. This is Legg-Calve-Perthes",DDH,Perthes,pediatrics
"Patient with episodic vertigo lasting hours. This is Meniere disease","Patient with brief vertigo triggered by position. This is BPPV",Meniere,BPPV,otology
"Chest pain worse with swallowing. This is esophageal spasm","Chest pain worse with deep breath. This is pleurisy",esophageal,pleurisy,gastroenterology
"Patient with facial flushing after eating. This is carcinoid syndrome","Patient with facial flushing and hypertension. This is pheochromocytoma",carcinoid,pheochromocytoma,endocrinology
"Child with recurrent infections and eczema. This is Wiskott-Aldrich syndrome","Child with recurrent infections and albinism. This is Chediak-Higashi",Wiskott-Aldrich,Chediak-Higashi,immunology
"Patient with tremor at rest that improves with movement. This is Parkinson disease","Patient with tremor that worsens with movement. This is essential tremor",Parkinson,essential tremor,neurology
"Child with failure to thrive and recurrent infections. Test for HIV","Child with failure to thrive and salty skin. Test for cystic fibrosis",HIV,CF,pediatrics
"Patient with elevated creatinine and small kidneys. This is chronic kidney disease","Patient with elevated creatinine and normal sized kidneys. This is acute kidney injury",CKD,AKI,nephrology
"Thyroid biopsy shows orphan Annie nuclei. This is papillary thyroid cancer","Thyroid biopsy shows amyloid deposits. This is medullary thyroid cancer",papillary,medullary,oncology
"Patient with weight gain and hyperpigmented striae. This is Cushing syndrome","Patient with weight loss and hyperpigmentation. This is Addison disease",Cushing,Addison,endocrinology
"Child with unilateral leg length discrepancy. Check for DDH","Child with bilateral leg bowing. Check for rickets",DDH,rickets,pediatrics
"Patient with painless hematuria and irregular bladder mass. This is bladder cancer","Patient with painful hematuria and flank pain. This is kidney stone",bladder cancer,kidney stone,urology
"Elevated AFP in pregnancy. Screen for neural tube defect","Low AFP in pregnancy. Screen for Down syndrome",NTD,Down syndrome,obstetrics
